Date,Open,High,Low,Close,Percent_Change
2020-06-29,67.91,69.78,67.35,69.75,2.71
2020-06-30,69.52,70.93,69.2,70.68,1.67
2020-07-01,70.56,72.15,70.49,71.9,1.91
2020-07-02,72.35,74.15,72.32,73.24,1.23
2020-07-06,74.0,75.33,73.64,74.79,1.06
2020-07-07,74.5,75.84,74.18,74.26,-0.32
2020-07-08,74.72,75.29,74.28,74.8,0.11
2020-07-09,75.32,76.14,74.4,75.55,0.3
2020-07-10,75.31,77.19,74.83,77.09,2.36
2020-07-13,77.5,78.86,75.26,75.57,-2.49
2020-07-14,74.52,76.15,74.18,76.03,2.03
2020-07-15,76.16,76.77,74.9,75.68,-0.62
2020-07-16,75.0,75.93,74.32,75.9,1.2
2020-07-17,76.08,76.17,74.92,75.78,-0.4
2020-07-20,75.76,78.51,75.18,78.29,3.33
2020-07-21,79.35,79.35,77.71,77.92,-1.8
2020-07-22,78.03,78.5,77.31,78.42,0.51
2020-07-23,78.35,78.59,75.37,75.78,-3.27
2020-07-24,74.95,75.88,74.42,75.59,0.86
2020-07-27,75.78,77.05,75.76,76.51,0.96
2020-07-28,76.26,76.32,74.88,75.02,-1.63
2020-07-29,75.32,76.56,75.07,76.1,1.04
2020-07-30,74.85,76.89,74.61,76.57,2.3
2020-07-31,75.25,75.45,72.7,74.15,-1.47
2020-08-03,74.33,74.52,73.28,73.72,-0.82
2020-08-04,73.83,74.28,72.93,73.25,-0.79
2020-08-05,73.46,74.12,73.17,73.68,0.29
2020-08-06,73.59,75.12,73.3,75.0,1.93
2020-08-07,75.0,75.84,74.08,74.72,-0.37
2020-08-10,74.36,75.2,73.65,74.81,0.6
2020-08-11,74.62,75.5,73.9,74.02,-0.81
2020-08-12,74.28,75.62,74.26,75.33,1.42
2020-08-13,75.52,76.86,75.4,75.92,0.54
2020-08-14,75.78,76.1,75.14,75.39,-0.52
2020-08-17,75.73,76.28,75.4,75.9,0.22
2020-08-18,76.31,78.12,76.19,77.93,2.12
2020-08-19,77.67,78.68,77.2,77.38,-0.37
2020-08-20,77.17,79.29,76.91,79.09,2.48
2020-08-21,78.85,79.89,78.4,79.02,0.21
2020-08-24,79.7,80.71,79.03,79.41,-0.36
2020-08-25,79.1,80.58,79.1,80.41,1.65
2020-08-26,80.4,82.96,80.18,82.62,2.76
2020-08-27,82.68,82.75,81.29,81.72,-1.17
2020-08-28,81.67,82.36,81.54,82.22,0.67
2020-08-31,82.39,82.4,81.52,81.71,-0.83
2020-09-01,81.83,83.29,81.61,83.04,1.47
2020-09-02,83.69,86.66,83.32,86.41,3.26
2020-09-03,85.49,85.49,80.75,82.09,-3.97
2020-09-04,81.21,82.26,77.38,79.55,-2.05
2020-09-08,76.68,78.19,76.4,76.62,-0.07
2020-09-09,77.88,78.45,76.8,77.85,-0.04
2020-09-10,78.03,79.2,76.29,76.6,-1.83
2020-09-11,76.8,78.76,74.87,76.04,-0.99
2020-09-14,76.95,78.2,75.79,75.96,-1.28
2020-09-15,76.8,77.98,76.59,77.07,0.35
2020-09-16,77.78,78.1,75.99,76.04,-2.23
2020-09-17,74.8,75.41,73.5,74.78,-0.03
2020-09-18,74.9,75.15,71.86,73.0,-2.54
2020-09-21,72.0,72.42,70.33,71.56,-0.62
2020-09-22,72.5,73.48,71.73,73.27,1.06
2020-09-23,72.94,73.05,70.39,70.76,-2.99
2020-09-24,70.55,72.19,70.49,71.41,1.22
2020-09-25,71.63,72.5,70.67,72.25,0.86
2020-09-28,73.71,73.84,72.47,73.23,-0.66
2020-09-29,73.52,73.83,72.94,73.47,-0.07
2020-09-30,73.34,74.49,72.99,73.48,0.19
2020-10-01,74.21,74.95,73.96,74.5,0.39
2020-10-02,73.1,74.16,72.55,72.92,-0.25
2020-10-05,73.31,74.41,73.21,74.3,1.35
2020-10-06,73.78,74.34,72.43,72.67,-1.5
2020-10-07,73.21,73.45,71.8,73.01,-0.27
2020-10-08,73.25,74.5,73.25,74.3,1.42
2020-10-09,74.74,75.83,74.47,75.76,1.37
2020-10-12,77.15,79.69,76.63,78.46,1.69
2020-10-13,79.19,79.5,78.16,78.58,-0.76
2020-10-14,78.93,79.38,77.53,78.4,-0.67
2020-10-15,77.36,78.76,77.25,77.96,0.77
2020-10-16,78.29,79.06,78.15,78.65,0.46
2020-10-19,79.02,79.41,76.4,76.73,-2.9
2020-10-20,76.35,78.88,76.28,77.8,1.89
2020-10-21,78.67,80.94,78.58,79.67,1.27
2020-10-22,79.65,81.1,79.25,80.77,1.4
2020-10-23,81.3,82.12,81.03,82.05,0.92
2020-10-26,81.25,81.91,78.82,79.52,-2.13
2020-10-27,79.78,80.34,79.14,80.21,0.54
2020-10-28,77.99,78.07,75.73,75.83,-2.76
2020-10-29,76.12,79.69,76.11,78.36,2.95
2020-10-30,83.61,84.35,80.22,81.05,-3.06
