Date,Open,High,Low,Close,Percent_Change
2023-07-05,335.09,341.65,334.73,338.15,0.91
2023-07-06,337.3,342.99,335.5,341.27,1.18
2023-07-07,339.32,341.79,337.0,337.22,-0.62
2023-07-10,334.6,335.23,327.59,331.83,-0.83
2023-07-11,331.06,332.86,327.0,332.47,0.43
2023-07-12,336.6,341.65,335.67,337.2,0.18
2023-07-13,339.56,343.74,339.02,342.66,0.91
2023-07-14,347.59,351.43,344.31,345.24,-0.68
2023-07-17,345.68,346.99,342.2,345.73,0.01
2023-07-18,345.83,366.78,342.17,359.49,3.95
2023-07-19,361.75,362.46,352.44,355.08,-1.84
2023-07-20,353.57,357.97,345.37,346.87,-1.89
2023-07-21,349.15,350.3,339.83,343.77,-1.54
2023-07-24,345.85,346.92,342.31,345.11,-0.21
2023-07-25,347.11,351.89,345.07,350.98,1.11
2023-07-26,341.44,344.67,333.11,337.77,-1.07
2023-07-27,340.48,341.33,329.05,330.72,-2.87
2023-07-28,333.67,340.01,333.17,338.37,1.41
2023-07-31,336.92,337.7,333.36,335.92,-0.3
2023-08-01,335.19,338.54,333.7,336.34,0.34
2023-08-02,333.63,333.63,326.36,327.5,-1.84
2023-08-03,326.0,329.88,325.95,326.66,0.2
2023-08-04,331.88,335.14,327.24,327.78,-1.24
2023-08-07,328.37,331.11,327.52,330.11,0.53
2023-08-08,326.96,328.75,323.0,326.05,-0.28
2023-08-09,326.47,327.11,321.05,322.23,-1.3
2023-08-10,326.02,328.26,321.18,322.93,-0.95
2023-08-11,320.26,322.41,319.21,321.01,0.23
2023-08-14,321.39,324.06,320.08,324.04,0.82
2023-08-15,323.0,325.09,320.9,321.86,-0.35
2023-08-16,320.8,324.42,319.8,320.4,-0.12
2023-08-17,320.54,321.87,316.21,316.88,-1.14
2023-08-18,314.49,318.38,311.55,316.48,0.63
2023-08-21,317.93,322.77,317.04,321.88,1.24
2023-08-22,325.5,326.08,321.46,322.46,-0.93
2023-08-23,323.82,329.2,323.46,327.0,0.98
2023-08-24,332.85,332.98,319.96,319.97,-3.87
2023-08-25,321.47,325.36,318.8,322.98,0.47
2023-08-28,325.66,326.15,321.72,323.7,-0.6
2023-08-29,321.88,328.98,321.88,328.41,2.03
2023-08-30,328.67,329.81,326.45,328.79,0.04
2023-08-31,329.2,330.91,326.78,327.76,-0.44
2023-09-01,331.31,331.99,326.78,328.66,-0.8
2023-09-05,329.0,334.85,328.66,333.55,1.38
2023-09-06,333.38,334.46,330.18,332.88,-0.15
2023-09-07,331.29,333.08,329.03,329.91,-0.42
2023-09-08,330.09,336.16,329.46,334.27,1.27
2023-09-11,337.24,338.42,335.43,337.94,0.21
2023-09-12,335.82,336.79,331.48,331.77,-1.21
2023-09-13,331.31,336.85,331.17,336.06,1.43
2023-09-14,339.15,340.86,336.57,338.7,-0.13
2023-09-15,336.92,337.4,329.65,330.22,-1.99
2023-09-18,327.8,330.4,326.36,329.06,0.38
2023-09-19,326.17,329.39,324.51,328.65,0.76
2023-09-20,329.51,329.59,320.51,320.77,-2.65
2023-09-21,319.26,325.35,315.0,319.53,0.08
2023-09-22,321.32,321.45,316.15,317.01,-1.34
2023-09-25,316.59,317.67,315.0,317.54,0.3
2023-09-26,315.13,315.88,310.02,312.14,-0.95
2023-09-27,312.3,314.3,309.69,312.79,0.16
2023-09-28,310.99,315.48,309.45,313.64,0.85
2023-09-29,317.75,319.47,314.98,315.75,-0.63
2023-10-02,316.28,321.89,315.18,321.8,1.75
2023-10-03,320.83,321.39,311.21,313.39,-2.32
2023-10-04,314.03,320.04,314.0,318.96,1.57
2023-10-05,319.09,319.98,314.9,319.36,0.08
2023-10-06,316.55,329.19,316.3,327.26,3.38
2023-10-09,324.75,330.3,323.18,329.82,1.56
2023-10-10,330.96,331.1,327.67,328.39,-0.78
2023-10-11,331.21,332.82,329.14,332.42,0.37
2023-10-12,330.57,333.63,328.72,331.16,0.18
2023-10-13,332.38,333.83,326.36,327.73,-1.4
2023-10-16,331.05,336.14,330.6,332.64,0.48
2023-10-17,329.59,333.46,327.41,332.06,0.75
2023-10-18,332.49,335.59,328.3,330.11,-0.72
2023-10-19,332.15,336.88,330.91,331.32,-0.25
2023-10-20,331.72,331.92,325.45,326.67,-1.52
2023-10-23,325.47,332.73,324.39,329.32,1.18
2023-10-24,331.3,331.84,327.6,330.53,-0.23
2023-10-25,345.02,346.2,337.62,340.67,-1.26
2023-10-26,340.54,341.63,326.94,327.89,-3.71
2023-10-27,330.43,336.72,328.4,329.81,-0.19
2023-10-30,333.41,339.45,331.83,337.31,1.17
2023-10-31,338.85,339.0,334.69,338.11,-0.22
2023-11-01,339.79,347.42,339.65,346.07,1.85
2023-11-02,347.24,348.83,344.77,348.32,0.31
2023-11-03,349.63,354.39,347.33,352.8,0.91
2023-11-06,353.45,357.54,353.35,356.53,0.87
2023-11-07,359.4,362.46,357.63,360.53,0.31
2023-11-08,361.68,363.87,360.55,363.2,0.42
2023-11-09,362.3,364.79,360.36,360.69,-0.44
2023-11-10,361.49,370.1,361.07,369.67,2.26
2023-11-13,368.22,368.47,365.9,366.68,-0.42
2023-11-14,371.01,371.95,367.35,370.27,-0.2
2023-11-15,371.28,373.13,367.11,369.67,-0.43
2023-11-16,370.96,376.35,370.18,376.17,1.4
2023-11-17,373.61,374.37,367.0,369.85,-1.01
2023-11-20,371.22,378.87,371.0,377.44,1.68
2023-11-21,375.67,376.22,371.12,373.07,-0.69
2023-11-22,378.0,379.79,374.97,377.85,-0.04
2023-11-24,377.33,377.97,375.14,377.43,0.03
2023-11-27,376.78,380.64,376.2,378.61,0.49
2023-11-28,378.35,383.0,378.16,382.7,1.15
2023-11-29,383.76,384.3,377.44,378.85,-1.28
2023-11-30,378.49,380.09,375.47,378.91,0.11
2023-12-01,376.76,378.16,371.31,374.51,-0.6
2023-12-04,369.1,369.52,362.9,369.14,0.01
2023-12-05,366.45,373.08,365.62,372.52,1.66
2023-12-06,373.54,374.18,368.03,368.8,-1.27
2023-12-07,368.23,371.45,366.32,370.95,0.74
2023-12-08,369.2,374.46,368.23,374.23,1.36
2023-12-11,368.48,371.6,366.1,371.3,0.77
2023-12-12,370.85,374.42,370.46,374.38,0.95
2023-12-13,376.02,377.64,370.77,374.37,-0.44
2023-12-14,373.31,373.76,364.13,365.93,-1.98
2023-12-15,366.85,372.4,366.28,370.73,1.06
2023-12-18,369.45,373.0,368.68,372.65,0.87
2023-12-19,371.49,373.26,369.84,373.26,0.48
2023-12-20,375.0,376.03,370.53,370.62,-1.17
2023-12-21,372.56,374.41,370.04,373.54,0.26
2023-12-22,373.68,375.18,372.71,374.58,0.24
2023-12-26,375.0,376.94,373.5,374.66,-0.09
2023-12-27,373.69,375.06,372.81,374.07,0.1
2023-12-28,375.37,376.46,374.16,375.28,-0.02
2023-12-29,376.0,377.16,373.48,376.04,0.01
2024-01-02,373.86,375.9,366.77,370.87,-0.8
2024-01-03,369.01,373.26,368.51,370.6,0.43
2024-01-04,370.67,373.1,367.17,367.94,-0.74
2024-01-05,368.97,372.06,366.5,367.75,-0.33
2024-01-08,369.3,375.2,369.01,374.69,1.46
2024-01-09,372.01,375.99,371.19,375.79,1.02
2024-01-10,376.37,384.17,376.32,382.77,1.7
2024-01-11,386.0,390.68,380.38,384.63,-0.35
2024-01-12,385.49,388.68,384.65,388.47,0.77
2024-01-16,393.66,394.03,387.62,390.27,-0.86
2024-01-17,387.98,390.11,384.81,389.47,0.38
2024-01-18,391.72,393.99,390.12,393.87,0.55
2024-01-19,395.76,398.67,393.5,398.67,0.74
2024-01-22,400.02,400.62,393.59,396.51,-0.88
2024-01-23,395.75,399.38,393.93,398.9,0.8
2024-01-24,401.54,405.63,400.45,402.56,0.25
2024-01-25,404.32,407.01,402.53,404.87,0.14
2024-01-26,404.37,406.17,402.43,403.93,-0.11
2024-01-29,406.06,409.98,404.33,409.72,0.9
