"pop","id","imfGDP","unGDP","country","gdpPerCapita","continent","rank"
"73.368",212,"697000000","548215595","Dominica","9500.0545200","North America",180
"236.381",678,"674000000","554603297","Sao Tome and Principe","2851.3289990","Africa",181
"108.683",776,"547000000","471831997","Tonga","5032.9858400","Oceania",182
"116.300",583,"458000000","404178050","Micronesia","3938.0911440","Oceania",183
"42.415",584,"277000000","256979000","Marshall Islands","6530.7084760","Oceania",184
"18.051",585,"267000000","217804328","Palau","14791.4243000","Oceania",185
"135.763",296,"246000000","227454167","Kiribati","1811.9811730","Oceania",186
"12.884",520,"150000000","155015921","Nauru","11642.3471000","Oceania",187
"11.478",798,"63000000","60170178","Tuvalu","5488.7611080","Oceania",188
"43372.950",4,"0","14939009447","Afghanistan","344.4314820","Asia",189
"63.935",60,"0","7230610106","Bermuda","113093.1431000","North America",190
"31.763",92,"0","1538792087","British Virgin Islands","48446.0563200","North America",191
"69.885",136,"0","5808612073","Cayman Islands","83116.7213700","North America",192
"21949.268",144,"0","85308759183","Sri Lanka","3886.6334490","Asia",193
"17.072",184,"0","327543922","Cook Islands","19186.0310400","Oceania",194
"11174.587",192,"0","126693606820","Cuba","11337.6545200","North America",195
"3817.651",232,"0","2255389718","Eritrea","590.7794395","Africa",196
"311.383",258,"0","6054675381","French Polynesia","19444.4635100","Oceania",197
"5494.963",275,"0","18036800000","Palestine","3282.4242860","Asia",198
"56.789",304,"0","3272512495","Greenland","57625.8165300","North America",199
"26244.582",408,"0","16750452731","North Korea","638.2442186","Asia",200
"1667.483",412,"0","9412100728","Kosovo","5644.4957630","Europe",201
"5219.044",422,"0","37944879049","Lebanon","7270.4654430","Asia",202
"39.822",438,"0","6607749611","Liechtenstein","165932.1383000","Europe",203
"36.157",492,"0","8596156574","Monaco","237745.2934000","Europe",204
"4.372",500,"0","71552836","Montserrat","16366.1564500","North America",205
"192.965",531,"0","2699612444","Curacao","13990.1663200","North America",206
"44.309",534,"0","1153842827","Sint Maarten","26040.8230200","North America",207
"295.966",540,"0","10071349707","New Caledonia","34028.7388000","Oceania",208
"15.936",660,"0","302714815","Anguilla","18995.6585700","North America",209
"49358.228",729,"0","35867261255","Sudan","726.6723849","Africa",210
"24348.053",760,"0","19718893437","Syria","809.8755756","Asia",211
"46.431",796,"0","943269768","Turks and Caicos Islands","20315.5169600","North America",212
